"","blog.txt","news.txt","twitter.txt"
"awards announced",1,1,2
"away come",1,1,6
"away entire",1,1,1
"away family",4,1,1
"away go",2,1,6
"away home",24,2,3
"away last",7,1,6
"away people",7,1,7
"away really",3,1,1
"away said",2,4,2
"away see",1,1,2
"away tears",3,1,1
"away thats",2,1,3
"away theres",2,1,1
"away think",7,1,1
"away will",8,1,6
"awhile since",5,1,5
"b c",14,1,145
"babies born",3,1,1
"baby boomers",2,1,5
"baby born",7,2,4
"baby like",3,1,4
"baby wipes",2,1,1
"back ù",5,2,2
"back action",2,1,10
"back another",9,1,5
"back around",5,1,4
"back asleep",2,1,3
"back back",7,1,25
"back big",6,1,11
"back bit",8,1,2
"back can",15,1,21
"back chris",1,1,2
"back college",5,1,4
"back come",1,1,5
"back community",4,1,1
"back corner",1,1,1
"back couple",5,1,5
"back days",10,1,8
"back deck",5,1,3
"back dont",2,1,10
"back door",11,5,8
"back earlier",1,1,1
"back early",9,2,2
"back easy",1,1,1
"back economy",1,1,1
"back either",1,1,1
"back end",10,2,7
"back even",11,1,4
"back feet",6,1,1
"back forth",62,2,19
"back front",4,1,2
"back getting",4,1,3
"back hes",3,1,1
"back home",89,5,80
"back inside",13,1,1
"back issue",1,1,1
"back just",14,1,17
"back later",13,1,10
"back life",21,1,21
"back looked",4,1,2
"back looked like",2,1,1
"back many",6,2,4
"back new",6,1,15
"back now",14,2,31
"back old",15,1,15
"back original",8,1,2
"back pain",9,2,7
"back people",4,2,2
"back place",8,1,4
"back plane",1,1,4
"back porch",9,1,3
"back problems",2,1,2
"back real",5,1,8
"back really",6,1,7
"back road",8,1,4
"back room",15,1,7
"back said",4,1,2
"back seat",14,2,9
"back second",8,1,2
"back see",21,1,19
"back session",1,1,2
"back side",5,1,2
"back soon",23,1,59
"back south",2,1,4
"back square",2,1,2
"back start",5,1,4
"back stock",1,1,3
"back story",9,1,1
"back super",1,1,2
"back team",1,1,3
"back time",33,3,29
"back turn",1,1,2
"back two",4,1,1
"back us",13,1,16
"back wall",5,1,1
"back will",13,1,7
"back work",44,2,65
"back writing",1,1,10
"back yard",24,1,10
"back year",4,2,2
"background music",3,1,4
"backup plan",5,1,2
"bad behavior",3,1,3
"bad date",1,1,1
"bad day",11,1,35
"bad deal",1,1,1
"bad decision",2,2,2
"bad decisions",5,1,6
"bad experiences",1,1,1
"bad feelings",1,1,1
"bad guy",13,1,14
"bad idea",14,3,32
"bad im",6,1,34
"bad job",1,1,1
"bad karma",1,1,3
"bad little",1,1,1
"bad news",19,4,47
"bad one",8,2,13
"bad shot",1,1,3
"bad still",2,1,4
"bad thing",28,2,36
"bad time",3,1,7
"bad year",1,1,5
"bake sale",4,1,6
"baked goods",8,2,6
"baking powder",22,1,1
"baking soda",33,1,3
"balance budget",1,1,1
"ball back",2,1,2
"ball game",6,1,5
"ball play",1,1,2
"ball rolling",8,1,2
"ball twice",1,1,1
"baltimore city",1,1,5
"baltimore md",1,1,1
"baltimore orioles",1,1,2
"baltimore ravens",1,1,3
"baltimore sun",3,2,3
"band class",1,1,1
"band last",1,1,1
"band members",5,1,4
"band together",3,1,2
"bank america",5,5,7
"bank can",1,1,3
"bank gaza",2,1,1
"bank will",4,2,2
"banks may",1,1,1
"baptist church",4,5,8
"bar grand",1,1,1
"bar night",1,1,1
"bar now",3,1,3
"barack obama",24,13,14
"barbara johnson",1,1,1
"barbecue sauce",3,1,1
"barely enough",3,3,2
"barely function",1,1,1
"barely see",6,1,2
"barnes noble",15,5,12
"barrel oil",2,1,1
"barry trotz",1,1,1
"bars restaurants",4,2,1
"baseball games",2,1,6
"baseball players",1,1,6
"baseball team",2,3,12
"based popular",1,1,1
"bases loaded",1,2,14
"basic level",1,2,1
"basketball football",1,1,2
"basketball game",2,1,20
"basketball games",2,1,5
"basketball player",3,2,5
"basketball players",3,1,6
"basketball team",1,3,17
"basketball teams",1,2,2
"basketball tournament",2,1,5
"bass line",1,1,1
"baton rouge",1,2,9
"batting average",2,2,2
"battle cancer",5,1,6
"bay area",9,8,36
"bayern munich",2,1,1
"beach club",1,1,3
"beach county",3,2,1
"bear weight",2,1,1
"beat em",1,1,1
"beaten death",2,1,1
"beautiful amazing",2,1,1
"beautiful music",2,1,5
"beautiful time",4,1,6
"beautiful time year",3,1,1
"beauty pageant",3,1,1
"became expensive",1,1,1
"became first",7,2,3
"became friends",2,2,2
"became good",2,1,1
"became good friends",1,1,1
"became known",3,1,1
"became one",4,1,2
"become accustomed",3,1,2
"become big",2,1,1
"become law",4,2,1
"become like",6,1,2
"become member",1,1,4
"become one",19,2,6
"become president",1,1,1
"bed breakfast",7,1,3
"bed get",2,1,2
"bed rest",3,1,2
"bed without",1,1,2
"beef pork",2,1,1
"beer geeks",4,1,1
"beer night",1,2,8
"beer will",2,1,5
"beer wine",5,1,10
"began years",1,1,1
"began years ago",1,1,1
"begin describe",3,1,4
"begin making",1,1,1
"begin soon",3,1,1
"begin today",2,1,2
"beginning end",8,1,8
"beginning feel",4,1,3
"beginning just",1,1,1
"beginning look",1,1,1
"behavior will",2,1,2
"behind bar",4,1,4
"behind bars",4,1,3
"behind scenes",11,1,21
"behind schedule",1,1,2
"behind wheel",2,1,3
"believe anything",5,1,7
"believe girl",2,1,1
"believe going",2,1,4
"believe great",3,1,6
"believe im",4,1,37
"believe ive",3,1,6
"believe just",8,1,13
"believe kind",2,1,1
"believe little",3,1,1
"believe lot",3,1,2
"believe one",11,1,6
"believe said",1,2,2
"believe say",3,1,4
"believe something",7,1,6
"believe us",2,1,1
"believe well",2,1,2
"believe will",18,3,19
"believed everything",1,1,1
"bell pepper",7,1,4
"bell peppers",4,1,3
"bells whistles",5,1,2
"ben bernanke",1,1,1
"bench press",1,1,2
"benefit doubt",3,1,3
"benefits will",2,1,1
"bernie sanders",1,1,1
"berry farm",3,1,2
"best actor",3,1,2
"best answer",3,1,4
"best best",3,1,13
"best bet",5,2,5
"best buy",4,2,14
"best can",35,3,14
"best can now",1,1,1
"best case",4,1,4
"best chance",4,3,4
"best deals",3,1,9
"best decision",3,1,6
"best defense",1,1,1
"best dog",2,1,1
"best everything",3,2,2
"best family",3,1,4
"best film",4,1,1
"best films",3,2,1
"best first",2,1,6
"best fit",1,1,1
"best friend",81,3,180
"best friends",35,2,86
"best game",2,1,9
"best get",9,1,6
"best gift",4,2,6
"best guess",2,2,2
"best interest",12,1,7
"best ive",3,1,11
"best job",4,2,5
"best just",1,1,3
"best known",17,3,2
"best line",4,1,7
"best match",1,1,2
"best part",42,2,63
"best parts",5,1,2
"best picture",5,1,9
"best play",2,1,4
"best player",1,2,11
"best players",1,2,8
"best record",1,1,3
"best results",4,1,2
"best sandwich",1,1,2
"best save",1,1,1
"best season",2,1,2
"best show",2,1,40
"best southern",1,1,1
"best thing",37,1,79
"best time",19,2,33
"best track",1,1,1
"best two",1,1,1
"best way",47,6,82
"best way keep",1,1,1
"best way learn",2,1,2
"best ways",3,1,8
"best world",1,1,2
"best year",3,1,7
"bet will",1,1,5
"better able",6,1,2
"better anyone",4,2,2
"better anyone else",1,1,1
"better average",1,1,2
"better care",3,1,2
"better communication",3,1,1
"better days",4,1,3
"better done",1,1,1
"better ever",3,1,9
"better expected",3,1,3
"better get",18,2,48
"better give",3,1,1
"better got",2,1,4
"better health",3,1,3
"better job",11,2,7
"better job keeping",1,1,1
"better kind",1,1,1
"better known",12,1,2
"better long",1,1,4
"better nothing",4,1,5
"better now",13,1,25
"better part",15,1,8
"better people",7,1,8
"better perfect",1,1,1
"better person",14,1,8
"better play",1,1,2
"better prepared",1,2,1
"better quality",6,1,3
"better quality life",1,1,1
"better really",1,1,4
"better served",1,1,1
"better situation",1,1,1
"better start",5,1,15
"better still",11,1,6
"better support",1,1,3
"better theres",1,1,1
"better time",11,1,15
"better tomorrow",1,1,9
"better tonight",1,1,5
"better understanding",9,1,3
"better way",22,1,37
"better without",4,1,7
"better working",2,1,1
"better yet",18,2,16
"better youre",2,1,5
"beverly hills",5,3,13
"beyond control",4,1,3
"beyond repair",2,1,1
"big area",1,1,1
"big baby",2,1,3
"big band",1,1,7
"big bank",1,1,3
"big banks",1,2,2
"big bend",1,1,1
"big change",5,1,3
"big chunks",1,1,1
"big cities",1,1,1
"big city",12,2,11
"big day",14,1,48
"big deal",55,1,47
"big difference",10,5,7
"big double",1,1,1
"big enough",12,3,16
"big events",1,1,2
"big fail",1,1,2
"big fan",13,1,70
"big game",4,1,31
"big games",1,1,4
"big going",2,1,2
"big heart",2,1,4
"big hit",4,1,6
"big house",4,1,2
"big kids",5,1,1
"big league",2,1,2
"big letters",1,1,1
"big mama",2,1,2
"big man",5,1,15
"big men",2,2,2
"big news",11,1,20
"big o",2,1,1
"big oil",4,1,2
"big one",8,1,16
"big part",15,1,10
"big party",5,1,7
"big picture",10,1,7
"big place",1,1,1
"big plans",5,1,15
"big pot",2,1,1
"big problem",9,1,2
"big projects",1,1,2
"big push",1,1,2
"big red",6,1,8
"big screen",9,2,24
"big sky",2,1,1
"big smile",4,2,5
"big ten",1,7,19
"big thanks",5,1,45
"big time",17,1,45
"big toes",1,1,1
"big trip",2,1,3
"big us",1,2,1
"bigger government",1,1,1
"bigger picture",4,1,2
"biggest concern",1,1,1
"biggest difference",1,1,3
"biggest issue",4,1,1
"biggest loser",5,1,7
"biggest mistake",2,2,3
"biggest problem",8,1,3
"biggest thing",5,3,5
"bill already",1,1,1
"bill can",1,2,1
"bill clinton",4,1,9
"bill passed",1,1,1
"bill will",2,2,2
"billboards top",1,1,1
"billie jean",1,1,2
"billion annually",1,1,1
"billion billion",1,2,1
"billion dollars",5,1,11
"billion people",3,1,6
"billion years",4,2,3
"billions dollars",5,2,1
"billy joel",4,1,3
"bin laden",25,8,26
"bin ladens",2,3,4
"bipartisan support",1,2,2
"birth certificate",13,1,3
"birth child",3,1,1
"birth control",25,2,11
"birthday boy",4,1,1
"birthday celebrations",2,1,2
"birthday even",1,1,1
"birthday just",2,1,6
"birthday may",1,1,7
"birthday party",30,1,29
"birthday present",9,1,14
"bit different",15,2,1
"bit everything",3,1,2
"bit first",4,1,1
"bit go",2,1,1
"bit higher",2,1,1
"bit like",26,2,8
"bit much",16,1,6
"bit now",5,2,2
"bitter sweet",2,1,4
"black belt",2,1,3
"black cod",2,1,1
"black dress",6,2,2
"black friday",4,1,39
"black hair",11,2,5
"black hole",3,1,7
"black holes",3,1,1
"black keys",3,1,10
"black kid",1,1,2
"black man",12,2,10
"black people",11,2,29
"black pepper",14,1,1
"black president",3,1,1
"black tshirt",2,1,1
"black white",66,4,23
"black widow",4,1,4
"blaine gabbert",1,1,1
"blake griffin",2,1,16
"blame point",1,1,1
"bless america",1,1,7
"blessed good",2,1,4
"block away",6,1,3
"block light",1,1,1
"block south",1,2,3
"blocked shots",1,1,1
"blog called",8,1,1
"blood pressure",30,1,20
"blood sugar",11,2,2
"blow away",2,1,4
"blown save",1,1,2
"blue collar",5,1,2
"blue green",9,1,1
"blue jackets",3,1,1
"blue jays",1,2,3
"blue jeans",3,1,4
"blue line",2,1,10
"blue ridge",2,1,1
"blue sea",3,1,4
"blue white",5,2,7
"bluray dvd",3,1,2
"board directors",9,3,7
"board education",3,4,1
"board games",2,1,3
"board member",5,4,10
"board members",4,7,8
"board plane",1,1,5
"board president",1,2,1
"board supervisors",1,2,2
"board will",1,1,5
"body art",3,1,1
"body can",7,1,3
"body feels",2,1,2
"body mind",8,2,5
"body moving",2,1,1
"body parts",8,2,3
"body work",3,1,2
"boise state",1,1,3
"bok choy",2,1,2
"book early",1,1,1
"book even",9,1,3
"book foundation",1,1,1
"book great",6,1,5
"book made",4,1,1
"book now",6,1,17
"book store",2,1,5
"book years",2,1,4
"booked time",1,1,1
"books first",1,1,3
"books many",2,1,2
"boot camp",4,1,15
"boot camps",1,1,1
"born april",2,1,2
"born raised",6,3,7
"borrow money",2,1,4
"borrowed money",1,1,1
"boss gets",1,1,1
"boston bruins",1,1,2
"boston globe",2,1,3
"bottles just",1,1,1
"bottles wine",3,2,10
"bottom barrel",1,1,1
"bottom line",13,4,13
"bought one",8,2,4
"bought something",1,1,1
"bounced back",1,2,3
"bouncing around",1,1,5
"bowl victory",1,1,1
"bowling green",5,1,3
"box office",12,5,23
"boxes bags",1,1,1
"boy doesnt",2,1,2
"boy named",2,1,2
"boy said",4,1,3
"boy scout",2,1,3
"boys girls",15,3,10
"bragging rights",1,1,2
"brain cancer",2,1,1
"brain injury",4,1,1
"brand new",59,3,86
"brave enough",7,1,5
"break away",3,1,4
"break bank",4,1,1
