"","blog.txt","news.txt","twitter.txt"
"80 degrees outside",1,0,1
"80 percent of",0,5,3
"80 year old",1,0,1
"80% of the",2,0,2
"80s early 90s",1,0,1
"80s in the",1,0,2
"83 year old",1,1,1
"8th i will",1,0,1
"8th of may",1,0,1
"90 minutes of",3,0,1
"90 percent of",2,1,1
"90 years of",0,1,1
"90% how you",1,0,1
"90% of the",7,0,3
"95% of the",1,0,1
"99 year old",1,0,1
"99% of the",4,0,2
"99% of you",1,0,1
"a 1 million",1,1,0
"a 10 day",1,0,1
"a 10 gallon",0,1,1
"a 10 gift",2,0,1
"a 10 year",2,5,1
"a 10% off",1,0,1
"a 10% pay",1,1,0
"a 100 million",1,0,1
"a 100 year",1,1,0
"a 12 hour",1,0,1
"a 13 year",1,0,1
"a 14 game",0,1,1
"a 15 foot",1,2,0
"a 15 year",2,0,2
"a 16 year",1,1,2
"a 19 year",1,3,0
"a 20 foot",1,1,0
"a 20 mile",1,0,1
"a 20 something",1,0,1
"a 20 year",3,4,0
"a 2008 study",1,1,0
"a 21 year",1,2,1
"a 24 hour",3,1,3
"a 27 year",1,1,1
"a 28 year",3,0,2
"a 30 gpa",0,1,1
"a 30 minute",2,1,0
"a 30 second",0,2,1
"a 30 year",1,2,0
"a 30% off",1,0,1
"a 300 pound",0,1,1
"a 33 year",1,1,0
"a 34 year",0,1,1
"a 35 year",1,1,0
"a 40 year",1,1,0
"a 45 minute",1,0,1
"a 45 year",0,1,1
"a 50 page",1,0,1
"a 50 percent",1,1,0
"a 600 page",1,0,1
"a 65 million",0,2,1
"a 750 of",1,0,1
"a about the",2,0,2
"a and b",2,0,1
"a and i",1,0,1
"a and it",1,0,1
"a b and",2,1,0
"a b so",1,0,1
"a baby and",6,1,0
"a baby at",1,0,1
"a baby boy",2,0,1
"a baby but",1,0,2
"a baby in",2,0,2
"a baby is",3,1,2
"a baby it",1,0,1
"a baby like",1,0,1
"a baby on",1,0,1
"a baby or",3,0,1
"a baby pool",1,0,1
"a baby shower",1,0,1
"a baby to",1,0,2
"a bachelor's degree",2,0,1
"a bachelor of",2,1,0
"a back to",1,0,1
"a back up",5,1,2
"a backlash against",1,1,0
"a bad case",1,0,2
"a bad date",1,1,0
"a bad day",3,1,14
"a bad deal",1,1,1
"a bad decision",0,1,1
"a bad dream",1,0,1
"a bad end",1,0,1
"a bad example",1,0,1
"a bad experience",1,0,1
"a bad film",1,0,1
"a bad guy",2,0,1
"a bad habit",2,0,1
"a bad idea",7,3,12
"a bad influence",1,0,2
"a bad job",1,1,0
"a bad mood",3,0,6
"a bad movie",2,0,1
"a bad name",4,0,1
"a bad one",2,2,4
"a bad rap",2,2,0
"a bad relationship",1,0,2
"a bad shot",1,1,1
"a bad thing",13,2,11
"a bad time",0,1,3
"a bad way",4,0,4
"a bag for",1,0,1
"a bag full",3,0,1
"a bag in",1,0,1
"a bag of",14,4,9
"a bake sale",1,1,0
"a baking sheet",8,1,0
"a balance between",4,0,2
"a balanced diet",1,0,1
"a balanced life",1,0,2
"a ball hawk",0,1,1
"a ball of",4,1,0
"a ball out",1,1,0
"a ban on",1,3,0
"a band and",2,0,2
"a band called",3,0,2
"a band geek",1,0,2
"a band i",1,0,1
"a band in",1,0,1
"a band named",1,0,1
"a band that",4,0,2
"a band with",0,1,1
"a bank account",1,0,2
"a bar and",2,0,1
"a bar but",1,0,1
"a bar in",2,0,3
"a bar of",0,1,1
"a bar that",1,1,1
"a bargain a",0,1,1
"a barrage of",3,1,0
"a barrel of",4,1,0
"a base of",3,1,0
"a bases loaded",0,1,1
"a basis for",3,1,0
"a basket filled",1,1,0
"a basketball game",1,1,1
"a bass baritone",1,0,1
"a batch of",5,0,3
"a bath and",1,0,1
"a bathroom in",1,1,0
"a battery that",1,1,0
"a battle of",2,0,1
"a battle with",1,1,1
"a bbq in",1,0,1
"a beach somewhere",1,0,1
"a beach with",1,0,1
"a beacon of",1,1,1
"a beautiful and",2,0,4
"a beautiful book",1,0,1
"a beautiful city",1,0,1
"a beautiful day",4,0,57
"a beautiful gift",1,0,1
"a beautiful life",1,0,1
"a beautiful morning",1,0,5
"a beautiful shade",1,0,1
"a beautiful story",1,1,0
"a beautiful thing",2,0,5
"a beautiful time",1,0,1
"a beautiful woman",4,0,3
"a bed &",1,0,1
"a bed of",6,0,2
"a bedtime story",1,0,3
"a beeline to",1,0,1
"a beer company",1,0,1
"a beer for",2,0,1
"a beer on",1,0,1
"a beer or",4,0,2
"a beer pong",0,1,1
"a beer that",2,0,1
"a beer with",4,0,4
"a belief that",2,1,1
"a best picture",1,1,0
"a bet with",1,0,1
"a better artist",1,0,1
"a better camera",1,1,0
"a better chance",2,0,2
"a better day",1,0,4
"a better idea",6,0,1
"a better image",1,0,1
"a better job",5,2,5
"a better life",1,0,3
"a better man",1,0,3
"a better one",3,0,2
"a better option",1,0,1
"a better parent",1,0,1
"a better person",10,0,5
"a better place",1,0,13
"a better position",1,0,1
"a better shot",0,1,1
"a better team",1,0,1
"a better time",1,1,1
"a better understanding",7,1,2
"a better way",5,1,6
"a better word",2,1,0
"a better work",2,0,1
"a better world",4,0,3
"a better you",1,0,1
"a bevy of",1,1,0
"a bid to",2,4,0
"a big bag",2,0,3
"a big bang",1,0,2
"a big bowl",1,0,2
"a big boy",2,0,1
"a big change",2,1,0
"a big chunk",2,0,2
"a big city",3,1,1
"a big company",1,0,1
"a big crowd",1,0,1
"a big day",3,0,5
"a big deal",17,1,13
"a big difference",2,2,1
"a big drum",1,0,1
"a big enough",1,1,0
"a big event",4,0,1
"a big factor",2,0,1
"a big fan",9,1,28
"a big fat",2,0,1
"a big fire",0,1,1
"a big fluffy",1,0,1
"a big game",2,1,2
"a big group",1,0,2
"a big heart",1,1,2
"a big hit",1,0,4
"a big hug",2,0,3
"a big impact",1,0,1
"a big job",2,0,1
"a big man",1,0,1
"a big mess",1,0,1
"a big mistake",2,0,3
"a big mouth",1,0,1
"a big night",1,0,3
"a big ol'",2,0,2
"a big ole",2,0,2
"a big part",8,1,2
"a big party",1,0,2
"a big piece",1,0,1
"a big pile",1,0,1
"a big plus",3,0,1
"a big pot",2,1,0
"a big problem",3,1,0
"a big red",1,0,1
"a big relief",1,0,1
"a big role",1,0,4
"a big round",1,0,2
"a big sign",0,1,1
"a big smile",0,2,1
"a big sporting",1,0,1
"a big step",2,0,1
"a big stick",1,0,1
"a big success",2,0,1
"a big surprise",2,0,1
"a big thank",4,0,11
"a big thanks",1,0,8
"a big thing",1,0,2
"a big time",0,3,2
"a big trip",1,1,0
"a big truck",1,0,1
"a big two",1,0,1
"a big way",4,0,3
"a big win",1,0,2
"a bill can",0,2,1
"a bill from",1,0,1
"a bill that",2,4,0
"a bill to",1,1,1
"a billion dollars",1,0,2
"a biography of",0,1,1
"a bird is",1,0,1
"a birthday card",1,0,1
"a birthday with",2,0,2
"a bit a",1,0,2
"a bit about",9,0,1
"a bit and",19,0,4
"a bit at",1,1,0
"a bit before",5,0,1
"a bit better",4,0,3
"a bit bigger",2,1,0
"a bit blah",1,0,1
"a bit but",8,0,2
"a bit crazy",2,0,3
"a bit different",4,1,0
"a bit disappointed",3,0,1
"a bit earlier",1,0,1
"a bit early",1,0,1
"a bit for",2,1,1
"a bit from",3,1,2
"a bit harder",3,0,1
"a bit higher",1,1,0
"a bit i",8,0,1
"a bit if",1,0,2
"a bit in",2,1,1
"a bit into",2,0,2
"a bit it's",1,1,0
"a bit late",5,0,2
"a bit later",2,0,2
"a bit like",15,1,2
"a bit lol",1,0,2
"a bit longer",5,0,2
"a bit lost",2,0,2
"a bit more",78,4,8
"a bit much",3,1,1
"a bit nervous",4,0,1
"a bit now",4,0,1
"a bit of",190,6,28
"a bit off",5,0,1
"a bit on",8,0,1
"a bit out",6,0,1
"a bit over",6,0,1
"a bit ridiculous",1,0,1
"a bit right",1,0,1
"a bit since",1,0,2
"a bit so",4,0,2
"a bit strange",1,0,1
"a bit then",2,0,5
"a bit though",1,0,1
"a bit to",7,2,3
"a bit too",17,0,3
"a bit under",0,1,1
"a bit we",1,0,1
"a bit weird",1,0,2
"a bit when",3,1,0
"a bit while",1,0,2
"a bit worried",2,0,3
"a bite and",2,0,1
"a bite of",3,1,0
"a bite to",2,0,2
"a black and",2,1,0
"a black dress",2,1,0
"a black eye",1,0,1
"a black guy",2,0,2
"a black ipa",2,0,1
"a black man",3,0,3
"a black president",1,0,1
"a black shirt",1,0,1
"a black t",0,1,1
"a black widow",0,1,1
"a black woman",3,0,1
"a blank screen",5,0,1
"a blank slate",2,1,0
"a blast and",2,0,2
"a blast playing",1,0,1
"a blast the",1,0,2
"a blend of",3,1,0
"a blessed day",1,0,10
"a blessing from",2,0,1
"a blessing in",1,0,2
"a blessing to",6,0,2
"a blink of",1,0,1
"a block away",3,1,1
"a block of",1,1,1
"a blog and",1,0,2
"a blog called",2,1,1
"a blog on",1,0,2
"a blog post",12,0,7
"a blog that",4,1,0
"a blogger for",1,0,1
"a blow off",1,0,1
"a blow out",1,0,2
"a blueprint for",1,1,0
"a blur of",3,0,1
"a board game",1,0,1
"a board i",1,0,1
"a boat with",1,0,1
"a boatload of",1,0,1
"a body of",2,0,2
"a body that",1,0,1
"a boil reduce",1,1,0
"a bomb threat",1,0,1
"a bonus of",1,1,1
"a boo with",1,0,1
"a book about",14,1,4
"a book and",13,0,1
"a book but",1,0,2
"a book by",3,0,2
"a book called",3,0,2
"a book for",4,1,2
"a book i",7,0,5
"a book in",5,0,1
"a book is",5,0,2
"a book on",8,0,3
"a book or",5,0,1
"a book so",2,0,1
"a book that",13,0,4
"a book that's",1,0,1
"a book to",1,0,2
"a book together",1,0,1
"a book until",1,0,1
"a book which",0,1,1
"a boost in",2,2,0
"a bottle of",10,0,16
"a bottle or",1,0,1
"a bow on",1,0,1
"a bowl and",4,2,0
"a bowl game",0,1,1
"a bowl of",7,2,8
"a bowling alley",1,0,2
"a box it's",1,0,1
"a box of",11,0,14
"a boy and",4,1,0
"a boy but",1,0,1
"a boy i'd",1,0,1
"a boy or",1,0,2
"a boy they",1,0,1
"a boy who",1,1,3
"a brand new",16,1,17
"a break and",7,0,2
"a break but",2,0,1
"a break for",2,0,2
"a break from",18,0,21
"a break i",1,0,2
"a break in",2,1,1
"a breath and",3,1,0
"a breath of",7,0,2
"a brewery was",1,0,1
"a brick house",1,0,1
"a brick wall",1,1,1
"a brief history",2,1,0
"a brief review",1,0,1
"a brief statement",1,0,1
"a bright future",1,0,1
"a bright red",2,0,1
"a bright white",2,1,0
"a brighter day",1,0,1
"a broken back",1,1,0
"a broken foot",1,0,1
"a broken heart",1,0,1
"a broken leg",2,0,2
"a brother who",1,1,0
"a brutal attack",1,0,1
"a bubble bath",1,0,1
"a bubble that",0,1,1
"a bucket of",4,0,1
"a budget for",1,0,1
"a budget that",0,1,1
"a building with",1,0,1
"a built in",4,0,1
"a bummer but",1,0,1
"a bummer for",1,0,1
"a bunch for",1,0,2
"a bunch of",76,4,67
"a bundle of",1,0,1
"a burger and",1,0,3
"a burger with",2,0,1
"a burned out",2,1,0
"a bus back",1,0,1
"a bus to",2,1,2
"a bus tour",1,0,1
"a business and",1,1,2
"a business case",1,1,0
"a business model",1,0,1
"a business opportunity",1,1,0
"a business plan",1,0,3
"a business that",1,0,3
"a business trip",2,0,3
"a busy and",1,0,1
"a busy day",1,0,4
"a busy one",1,0,1
"a busy street",2,0,1
"a busy weekend",1,1,2
"a busy woman",1,1,1
"a but i",2,0,3
"a butterfly and",1,0,1
"a button from",1,0,1
"a by the",1,0,1
"a bygone era",1,1,0
"a byproduct of",0,1,1
"a c e",1,0,1
"a cab to",2,0,2
"a cafe in",1,0,1
"a cake and",1,1,0
"a cake for",1,0,2
"a call a",1,0,1
"a call and",1,1,2
"a call at",1,0,4
"a call for",5,1,5
"a call from",6,2,2
"a call in",2,0,1
"a call on",1,1,0
"a call that",2,0,1
"a call to",7,1,1
"a call with",0,1,1
"a camera to",1,1,0
"a campaign stop",1,0,1
"a campaign to",1,0,1
"a can in",1,0,1
"a can of",5,1,3
"a cancer treatment",0,1,1
"a car accident",3,1,4
"a car and",5,0,1
"a car chase",1,0,1
"a car comes",1,0,1
"a car crash",7,0,2
"a car for",2,0,2
"a car i",1,0,2
"a car needs",1,0,1
"a car on",1,0,1
"a car or",2,1,1
"a car that",5,0,4
"a car to",2,0,3
"a car today",1,0,1
"a car with",2,0,1
"a card and",1,0,1
"a card but",1,0,1
"a card for",4,0,2
"a card game",1,0,1
"a card i",2,0,2
"a cardboard box",2,0,2
"a career i",1,0,1
"a career in",5,1,1
"a career that",1,1,0
"a carton of",4,0,2
"a case against",1,2,0
"a case for",2,1,1
"a case in",3,1,0
"a case of",9,2,6
"a case that",4,1,0
"a case to",2,1,0
"a cash bar",1,0,1
"a cast for",1,1,1
"a cat from",1,0,1
"a cat i",1,0,2
"a catch 22",2,0,1
"a cause of",0,1,2
"a cause that",1,0,2
"a cautionary tale",1,0,1
"a celebration of",5,2,0
"a cell phone",7,0,2
"a century ago",3,1,0
"a ceo or",1,1,0
"a certain age",3,0,1
"a certain amount",6,1,1
"a certain date",2,1,0
"a certain extent",3,0,1
"a certain kind",5,0,2
"a certain level",4,0,1
"a certain number",2,1,0
"a certain point",0,1,1
"a certain way",7,0,1
"a chain of",3,1,0
"a chair and",2,2,1
"a challenge and",1,0,1
"a challenge for",2,0,1
"a challenge to",4,1,1
"a chance and",3,0,1
"a chance at",1,2,3
"a chance before",0,1,1
"a chance but",1,0,3
"a chance don't",1,0,1
"a chance for",5,2,4
"a chance he",2,1,0
"a chance i",3,0,1
"a chance in",0,1,1
"a chance of",5,1,4
"a chance on",3,1,1
"a chance or",1,0,2
"a chance that",1,0,2
"a chance to",70,7,75
"a change from",5,0,1
"a change in",17,3,3
"a change is",1,0,1
"a change of",8,0,4
"a change that",1,0,1
"a character you",2,0,1
"a charge of",3,1,0
"a chat and",1,0,1
"a chat room",1,0,1
"a cheater always",1,0,1
"a check for",1,0,3
"a check up",1,0,1
"a chicago area",1,1,1
"a chicken i",1,0,1
"a chicken sandwich",1,0,1
"a child again",1,0,2
"a child and",7,0,2
"a child at",1,0,1
"a child into",1,0,2
"a child is",6,1,2
"a child just",1,0,1
"a child my",1,0,1
"a child of",6,0,4
"a child that",4,0,2
"a child they",1,0,1
"a child to",3,0,1
"a child will",0,1,1
"a children's book",3,0,1
"a chinese restaurant",2,0,1
"a chinese woman",1,1,0
"a choice and",1,0,1
"a choice between",1,0,1
"a choice of",5,0,1
"a choice to",1,2,1
"a choke hold",1,0,1
"a christian and",2,1,0
"a christian but",1,0,1
"a christmas carol",3,0,2
"a christmas present",1,1,0
"a christmas story",1,0,2
"a chunk of",4,1,0
"a cigarette before",1,0,1
"a city like",1,1,0
"a city that",3,2,0
"a city where",1,0,3
"a civil rights",2,1,1
"a civil war",1,1,0
"a clash of",2,0,1
"a class act",1,0,4
"a class at",0,1,1
"a class called",2,0,1
"a class i",2,0,1
"a class of",1,1,0
"a class or",1,0,1
"a clean and",1,0,1
"a clear day",1,1,0
"a clear picture",1,0,1
"a clear set",1,0,1
"a clearer picture",1,0,1
"a client or",1,0,1
"a cliff and",1,0,2
"a climate of",2,1,0
"a clinic on",1,0,1
"a clip of",2,0,2
"a clip on",1,0,1
"a close and",1,1,0
"a close friend",5,1,1
"a close look",1,2,0
"a close second",4,0,3
"a closer look",7,0,1
"a cloud of",1,0,1
"a cloudy day",1,0,2
"a club and",1,0,2
"a club or",0,1,1
"a clue what",4,0,1
"a cluster of",6,1,0
"a co worker",3,0,1
"a coalition of",1,1,0
"a coat and",1,1,0
"a cocktail party",2,1,0
"a coffee and",3,0,2
"a coffee person",1,0,1
"a coffee shop",4,0,2
"a coffee table",2,0,1
"a coincidence but",1,1,0
"a coincidence that",1,0,1
"a cold and",3,0,3
"a cold beer",1,0,1
"a cold blooded",1,0,1
"a cold day",3,0,1
"a cold morning",1,0,1
"a cold or",1,0,2
"a cold winter",1,0,1
"a collaborative project",1,0,1
"a collection of",19,2,2
"a collective and",1,0,1
"a collective of",1,2,0
"a college campus",0,1,1
"a college football",2,0,2
"a college student",3,1,2
"a color scheme",1,0,1
"a coloring book",1,0,1
"a combination of",26,3,3
"a combined total",1,1,0
"a combo of",2,0,1
"a comedy and",1,0,1
"a comedy series",1,0,1
"a comic book",3,0,2
"a command center",1,1,0
"a comment and",6,0,1
"a comment from",1,0,1
"a comment on",11,0,1
"a comment to",2,0,1
"a commercial for",0,1,1
"a commitment to",5,1,1
"a common interest",1,0,2
"a common problem",1,0,1
"a community of",1,0,2
"a company that",2,0,2
"a compassionate heart",1,0,1
"a complete idiot",1,0,1
"a complete stranger",2,0,4
"a complete turn",1,0,1
"a completely different",9,0,3
"a complex issue",1,0,1
"a compliment to",1,0,1
"a compromise to",1,2,0
"a computer keyboard",1,0,1
"a computer program",1,1,0
"a computer science",0,1,1
"a concept like",1,0,1
"a concern that",1,2,0
"a concerted effort",3,0,1
"a condition of",2,0,1
"a conference call",1,3,2
"a conference room",1,0,1
"a conference with",1,2,0
"a conga line",1,0,1
"a connection to",1,0,1
"a conscious effort",1,0,1
"a constant struggle",2,0,1
"a constitutional amendment",1,1,1
"a constructive dialogue",1,0,1
"a constructive way",1,0,1
"a consultant for",1,1,0
"a content expert",1,0,1
"a contest to",2,0,2
"a contestant on",1,0,1
"a contract to",1,1,0
"a contract with",3,0,1
"a contribution to",2,0,2
"a convention for",1,0,1
"a conversation about",2,0,3
"a conversation and",1,0,1
"a conversation the",2,0,1
"a conversation with",13,1,6
"a cool breeze",2,0,1
"a cool kid",1,0,2
"a copy and",2,0,1
"a copy of",31,1,25
"a copy or",1,0,1
"a corner and",5,0,2
"a correlation between",1,1,0
"a cost of",1,1,0
"a costume contest",1,0,1
"a council of",1,1,0
"a country music",3,0,1
"a country that",4,2,1
"a country where",2,0,2
"a county that",1,1,0
"a couple days",8,0,11
"a couple for",1,0,2
"a couple friends",2,0,2
"a couple hours",4,1,6
"a couple hundred",3,0,1
"a couple i",1,0,1
"a couple if",0,1,1
"a couple months",8,0,5
"a couple more",13,0,3
"a couple of",312,22,63
"a couple other",3,0,2
"a couple people",1,0,2
"a couple things",3,1,0
"a couple times",7,2,2
"a couple weeks",17,1,8
"a couple years",5,3,6
