"","blog.txt","news.txt","twitter.txt"
"& special",1,0,3
"& stay",1,0,2
"& still",2,0,5
"& stopped",1,0,1
"& such",2,0,3
"& summer",1,0,1
"& sure",1,0,1
"& surly",1,0,1
"& technology",1,0,1
"& ted",1,0,2
"& that",2,0,12
"& the",24,4,140
"& their",2,0,4
"& theme",1,0,1
"& then",3,0,32
"& there",1,0,2
"& they",2,0,21
"& things",2,0,1
"& think",1,0,7
"& this",2,0,4
"& time",1,0,2
"& times",1,0,1
"& to",1,0,7
"& toss",1,0,1
"& travel",1,0,1
"& tried",1,0,1
"& u",0,1,6
"& under",1,0,1
"& up",1,0,1
"& v",1,0,1
"& vanilla",1,0,1
"& very",1,0,4
"& waking",1,0,2
"& wanted",1,0,2
"& was",3,0,12
"& were",1,0,4
"& what",3,0,13
"& white",7,0,6
"& wine",1,0,5
"& you",3,0,34
"& you're",1,0,5
"& your",1,0,24
"* *",5,0,2
"* as",1,1,0
"* he",1,0,1
"* i",2,0,2
"* make",1,0,1
"*do not",1,0,1
"*hint hint*",1,0,1
"*if you",2,0,1
"*points to",1,0,1
"^^ thanks",1,0,1
"_ _",1,0,1
"__ i",1,0,1
"~ back",1,0,1
"~ fun",1,0,1
"~ his",1,0,1
"~ i",1,0,1
"~ john",1,0,5
"~ my",1,0,1
"~ the",2,0,3
"~ when",1,0,2
"~ william",1,0,2
"~ you",1,0,1
"+ design",0,1,1
"+ has",0,1,2
"+ it's",1,0,1
"+ the",1,0,7
"+ we",1,0,1
"+1 button",0,1,1
"= 18",1,0,1
"= a",3,0,4
"= bad",2,0,1
"= good",1,0,3
"= happy",3,0,3
"= literally",1,0,1
"= love",1,0,3
"= more",2,0,4
"= not",1,0,2
"= one",1,0,1
"= thanks",1,0,2
"= the",3,0,6
"= total",1,0,2
"ù a",3,0,1
"ù and",20,1,2
"ù how",1,0,2
"ù i",42,0,1
"ù i'm",1,0,1
"ù is",3,0,1
"ù just",2,0,1
"ù looking",1,0,1
"ù no",2,0,2
"ù or",1,0,1
"ù said",2,1,0
"ù she",14,1,1
"ù so",1,0,1
"ù that's",1,0,1
"ù this",2,0,1
"ù to",4,0,1
"ù what",1,0,1
"ù who",1,0,1
"ù yeah",1,0,1
"ù yes",1,0,6
"ù you",3,0,1
"00 am",3,1,3
"00 pm",8,0,4
"06 to",1,0,1
"1 2",1,0,1
"1 22",1,0,1
"1 a",6,1,1
"1 and",0,1,3
"1 at",0,1,1
"1 beer",1,0,1
"1 billion",2,7,4
"1 but",1,0,1
"1 cup",13,2,0
"1 i",8,0,2
"1 i'm",2,0,1
"1 in",0,1,2
"1 large",3,1,0
"1 medium",3,1,0
"1 million",3,15,6
"1 more",1,0,5
"1 off",1,0,5
"1 per",2,0,1
"1 pm",1,2,0
"1 red",1,1,0
"1 small",1,1,0
"1 tablespoon",3,1,0
"1 teaspoon",4,2,0
"1 the",12,1,0
"1 to",2,0,4
"1 trillion",1,2,2
"1 what",1,1,1
"1 your",1,0,1
"1% of",4,0,4
"10 25",0,1,1
"10 5",1,1,2
"10 a",4,0,1
"10 all",1,0,1
"10 already",1,0,1
"10 am",8,14,10
"10 and",13,3,8
"10 as",1,0,1
"10 at",1,1,3
"10 best",1,0,2
"10 billion",0,1,1
"10 bucks",1,0,3
"10 cents",1,1,1
"10 commandments",1,0,2
"10 cups",1,0,1
"10 day",2,1,2
"10 days",12,3,18
"10 dollar",1,0,1
"10 dollars",1,0,3
"10 during",0,1,1
"10 each",3,0,2
"10 episode",0,1,1
"10 favorite",1,0,1
"10 feet",2,1,2
"10 for",3,3,2
"10 gallon",2,1,1
"10 game",0,1,1
"10 games",0,1,2
"10 gift",2,0,1
"10 great",0,1,1
"10 hours",3,1,3
"10 i",2,0,3
"10 i'm",1,0,2
"10 ideas",1,0,1
"10 if",2,1,2
"10 in",7,2,6
"10 inch",2,1,0
"10 inches",0,1,1
"10 instead",1,1,0
"10 is",0,1,3
"10 it's",0,1,1
"10 just",1,0,1
"10 kids",1,0,1
"10 last",0,1,1
"10 lbs",1,0,2
"10 mile",3,1,0
"10 miler",1,0,1
"10 miles",4,0,6
"10 million",3,7,2
"10 min",3,0,5
"10 mins",4,0,9
"10 minute",4,1,3
"10 minutes",61,4,20
"10 months",6,0,3
"10 more",4,0,13
"10 most",0,1,2
"10 new",1,1,2
"10 of",6,1,3
"10 off",1,0,8
"10 or",7,1,4
"10 out",1,0,1
"10 page",1,0,2
"10 people",1,0,4
"10 per",3,1,0
"10 percent",3,12,5
"10 pm",2,8,10
"10 points",3,4,1
"10 pounds",5,0,1
"10 second",1,0,1
"10 seconds",4,0,5
"10 take",1,1,0
"10 the",9,2,2
"10 then",1,0,1
"10 they",1,1,0
"10 things",2,0,1
"10 tickets",1,1,1
"10 times",6,1,8
"10 title",1,0,1
"10 titles",1,0,1
"10 to",8,2,8
"10 under",0,1,1
"10 we",2,0,2
"10 what",1,0,1
"10 year",13,11,8
"10 years",31,21,30
"10 your",1,1,0
"10% discount",3,0,2
"10% in",1,0,1
"10% of",4,0,5
"10% off",4,0,10
"10% pay",1,1,0
"10+ years",1,0,2
"100 %",2,0,2
"100 and",1,2,3
"100 at",2,0,1
"100 days",6,0,2
"100 degree",1,0,4
"100 dollars",1,0,2
"100 followers",4,0,9
"100 for",3,0,2
"100 greatest",1,0,1
"100 in",1,0,2
"100 investment",1,1,0
"100 is",1,0,1
"100 lbs",2,0,1
"100 level",1,0,1
"100 meter",1,1,0
"100 mile",2,1,1
"100 miles",0,1,3
"100 million",8,4,4
"100 more",0,2,2
"100 now",1,0,2
"100 of",0,1,1
"100 off",3,0,6
"100 on",1,0,4
"100 or",1,0,2
"100 pages",2,0,1
"100 people",2,2,2
"100 per",1,1,1
"100 percent",4,3,6
"100 signatures",1,0,1
"100 to",1,0,2
"100 w",0,1,1
"100 we",1,0,1
"100 year",1,1,0
"100 years",5,3,6
"100% but",1,0,1
"100% in",1,0,2
"100% of",4,0,10
"100% okay",1,0,1
"100% sure",5,0,1
"1000 miles",4,0,1
"1000 more",1,0,1
"1000 of",1,0,2
"1000 or",0,1,1
"1000 prize",1,0,1
"1000 times",1,0,1
"1000 to",0,1,1
"10000 meter",0,1,1
"10000 or",1,2,0
"10000 people",1,1,0
"10000 times",2,0,1
"10000 to",2,1,1
"10000 years",1,1,0
"100000's of",1,0,1
"100000 for",1,2,0
"100000 more",1,1,0
"100k in",1,0,2
"100th anniversary",1,0,2
"100th birthday",1,0,2
"101 a",1,0,1
"106 in",1,0,1
"10am 2pm",1,0,1
"10am and",1,0,1
"10am to",1,0,4
"10k in",1,0,1
"10pm and",2,0,1
"10pm for",1,0,1
"10th and",3,0,2
"10th anniversary",0,1,2
"10th consecutive",0,1,1
"10th grade",2,0,1
"10th of",1,0,2
"10th show",1,0,1
"11 ~",1,0,1
"11 am",6,5,12
"11 and",5,1,2
"11 as",1,0,2
"11 at",0,1,1
"11 days",1,0,5
"11 for",2,0,4
"11 in",3,2,5
"11 is",3,0,2
"11 miles",3,2,0
"11 million",3,4,0
"11 minutes",1,0,1
"11 months",2,2,1
"11 o'clock",3,0,1
"11 of",2,0,3
"11 on",1,3,4
"11 or",1,0,2
"11 other",1,1,0
"11 percent",3,3,0
"11 pm",3,4,3
"11 points",0,3,2
"11 spots",1,0,1
"11 the",5,4,2
"11 through",1,1,0
"11 to",1,0,2
"11 year",6,3,0
"11 years",8,2,1
"1120 n",0,1,1
"119 million",0,1,1
"11am 4pm",1,0,3
"11am 5pm",1,0,1
"11am at",1,0,1
"11am so",1,0,1
"11at the",0,1,1
"11pm to",1,0,1
"11th place",1,0,1
"12 &",1,0,2
"12 am",4,1,0
"12 and",10,6,5
"12 are",0,1,1
"12 at",4,0,6
"12 but",1,0,1
"12 day",1,0,1
"12 days",1,1,5
"12 feet",1,1,0
"12 for",2,0,3
"12 from",1,0,1
"12 games",0,1,1
"12 hour",1,0,6
"12 hours",6,1,12
"12 i",5,0,5
"12 if",1,0,1
"12 in",4,2,4
"12 inch",1,2,0
"12 is",1,0,2
"12 it",1,0,2
"12 man",1,0,1
"12 miles",1,1,0
"12 million",2,4,1
"12 minutes",0,1,4
"12 month",1,0,2
"12 months",10,1,4
"12 new",1,0,1
"12 noon",1,0,4
"12 of",4,1,3
"12 on",0,2,1
"12 or",2,1,2
"12 original",1,0,1
"12 oz",1,0,1
"12 player",0,1,1
"12 pm",1,0,2
"12 small",2,1,0
"12 the",8,1,1
"12 to",3,1,0
"12 today",1,0,2
"12 topm",2,0,1
"12 weeks",1,0,2
"12 with",1,0,1
"12 year",5,2,9
"12 years",5,5,7
"120 in",1,0,1
"1200 meter",1,0,1
"1250 or",0,1,1
"12th 2012",1,0,1
"12th and",0,1,2
"12th anniversary",2,0,1
"12th in",1,0,1
"13 and",2,3,2
"13 assassins",1,0,3
"13 at",1,1,0
"13 billion",1,3,0
"13 days",1,0,1
"13 for",2,1,0
"13 i",1,0,1
"13 inch",1,1,1
"13 is",3,0,2
"13 million",2,3,0
"13 minutes",2,0,2
"13 month",1,0,1
"13 months",2,1,1
"13 people",0,1,1
"13 seconds",0,1,1
"13 that",1,1,0
"13 the",5,1,0
"13 times",2,1,0
"13 to",3,0,1
"13 was",1,0,1
"13 we",1,0,1
"13 when",1,0,1
"13 year",4,1,2
"13 years",7,1,6
"130 miles",0,1,1
"131 miles",1,0,1
"133 of",1,0,1
"138th running",1,0,1
"13th annual",1,0,3
"13th i",1,0,1
"13th in",1,1,0
"13th which",1,0,1
"14 and",2,0,2
"14 billion",0,1,1
"14 did",1,0,1
"14 for",0,1,1
"14 g",1,1,0
"14 game",0,1,1
"14 games",1,2,0
"14 hours",1,0,2
"14 i",1,0,2
"14 inches",1,1,0
"14 million",2,1,1
"14 months",1,1,0
"14 now",2,0,1
"14 of",1,2,0
"14 ounce",1,2,0
"14 percent",2,2,1
"14 pm",1,0,1
"14 points",1,2,0
"14 the",3,0,1
"14 this",1,0,1
"14 to",3,1,2
"14 under",1,1,2
"14 when",0,3,1
"14 year",5,1,2
"14 years",6,1,6
"140 character",1,0,2
"140 characters",2,0,19
"14th a",1,1,0
"14th annual",1,1,0
"14th century",5,0,1
"14th in",1,0,1
"14th to",1,0,2
"15 a",0,2,1
"15 and",6,2,3
"15 at",2,1,4
"15 bucks",1,0,1
"15 cents",2,1,1
"15 day",0,2,1
"15 days",2,1,3
"15 each",0,1,1
"15 feet",3,2,0
"15 foot",1,2,0
"15 for",1,0,3
"15 games",1,1,1
"15 hour",2,0,1
"15 hours",6,0,5
"15 is",0,1,1
"15 lbs",1,0,1
"15 miles",0,4,2
"15 million",3,5,1
"15 min",3,0,6
"15 mins",2,0,5
"15 minute",5,1,2
"15 minutes",37,4,32
"15 month",1,0,1
"15 months",5,2,1
"15 more",1,0,1
"15 on",1,1,3
"15 pages",1,0,1
"15 percent",5,9,0
"15 points",0,3,1
"15 seconds",2,3,2
"15 the",4,0,1
"15 times",1,0,1
"15 to",1,1,0
"15 trillion",0,1,1
"15 year",8,3,5
"15 years",15,7,9
"15% off",2,0,12
"150 for",0,1,2
"150 in",1,0,1
"150 miles",1,0,3
"150 off",1,0,1
"150 people",0,1,1
"150 to",0,2,1
"150 years",2,0,1
"1500 jobs",1,1,0
"15000 in",2,0,1
"150th anniversary",1,1,0
"1510 am",0,1,1
"154 billion",1,1,0
"15th and",2,0,2
"15th at",1,1,0
"15th century",1,1,1
"15th of",1,1,0
"16 and",2,1,3
"16 at",2,0,1
"16 bit",3,0,1
"16 but",1,0,1
"16 by",1,0,1
"16 days",1,1,2
"16 for",1,1,2
"16 he",1,2,0
"16 i",1,0,1
"16 is",1,0,1
"16 million",1,5,2
"16 or",0,1,1
"16 percent",2,1,0
"16 points",0,1,1
"16 satellite",1,0,1
"16 seconds",1,1,0
"16 to",1,0,2
"16 we",1,1,0
"16 weeks",1,0,1
"16 year",9,3,5
"16 years",5,3,3
"160 is",1,0,1
"168 percent",1,1,0
"16th at",2,0,1
"16th century",5,1,0
"17 a",1,1,0
"17 again",2,0,1
"17 and",3,1,3
"17 but",1,0,1
"17 days",1,0,1
"17 degrees",1,1,0
"17 in",1,1,1
"17 miles",1,1,0
"17 million",1,6,4
"17 months",1,1,1
"17 no",1,0,1
"17 not",1,1,0
"17 of",0,1,2
"17 on",1,0,1
"17 percent",2,5,0
"17 points",2,1,0
"17 that",1,1,1
"17 the",1,0,1
"17 to",1,1,0
"17 what",1,0,1
"17 year",8,8,3
"17 years",8,2,4
"175 in",1,0,1
"17th and",2,0,1
"17th century",3,2,0
"17th street",1,1,1
"18 &",1,0,2
"18 a",3,0,1
"18 and",4,0,7
"18 at",0,1,3
"18 but",1,0,1
"18 days",1,0,1
"18 for",0,1,1
"18 from",1,0,1
"18 holes",0,1,1
"18 i",3,0,4
"18 in",2,0,4
"18 million",0,1,1
"18 minutes",1,0,3
"18 month",1,0,2
"18 months",10,4,2
"18 of",1,5,2
"18 one",1,0,1
"18 people",0,1,2
"18 percent",1,4,0
"18 points",1,3,1
"18 this",1,1,0
"18 to",4,1,0
"18 year",8,3,4
"18 years",8,0,6
"1834 and",1,0,1
"18th and",6,0,1
"18th birthday",1,0,6
"18th century",6,1,1
"18th in",1,3,2
"18th the",1,0,2
"19 a",1,0,1
"19 and",2,2,0
"19 at",1,0,2
"19 million",1,1,1
"19 month",1,1,0
"19 mr",1,0,1
"19 of",1,3,2
"19 percent",3,4,0
"19 season",1,1,0
"19 to",2,1,0
"19 we",0,1,1
"19 year",8,7,1
"19 years",4,2,5
"1940 census",1,0,2
"1942 he",1,1,0
"1945 the",0,1,1
"1950s and",2,4,0
"1950s the",1,1,0
"1951 when",1,1,0
"1957 he",1,2,0
"1960s and",4,1,1
"1961 and",1,1,0
"1966 it",1,1,0
"1968 he",1,1,0
"1968 in",1,1,0
"1969 the",2,0,1
"1970 the",3,0,1
"1972 to",1,1,0
"1975 and",2,1,0
"1977 i",1,0,1
"1979 a",1,1,0
"1980s and",2,1,0
"1980s the",1,1,0
"1982 and",1,1,0
"1982 the",1,1,1
"1983 to",2,1,0
"1984 and",2,0,1
"1986 i",0,1,1
"1987 but",1,1,0
"1989 and",1,2,0
"1989 the",1,1,0
"1990 and",1,2,0
"1990 levels",1,1,0
"1990s as",1,1,0
"1990s the",2,1,0
"1991 to",1,1,0
"1992 and",1,1,0
"1994 and",3,1,0
"1994 the",1,0,1
"1995 and",1,0,1
"1995 the",2,1,0
"1995 when",1,1,0
"1996 for",0,1,1
"1996 he",1,1,0
"1996 the",1,1,0
"1998 and",4,1,0
"1998 report",1,1,0
"1998 was",1,0,1
"1999 or",0,1,1
"1999 to",1,1,0
"19th and",2,1,1
"19th century",22,3,7
"19th in",0,1,1
"1q84 and",1,0,1
"1st 2011",3,0,1
"1st amendment",0,2,1
"1st and",6,0,11
"1st at",3,0,2
"1st black",1,0,1
"1st class",1,0,4
"1st grade",3,0,1
"1st i",3,0,1
"1st of",2,0,1
"1st person",1,0,4
"1st place",1,0,9
"1st round",2,0,11
"1st stop",1,0,1
"1st the",1,0,1
"1st year",1,0,6
"2 15",0,1,1
"2 a",3,1,3
"2 at",1,0,1
"2 billion",0,1,3
"2 drinks",1,0,5
"2 for",1,0,2
"2 how",2,1,0
"2 i",6,0,3
"2 i'm",1,0,1
"2 if",4,0,1
"2 in",4,2,0
"2 inch",1,1,0
"2 is",1,0,1
"2 lack",1,0,1
"2 my",3,0,1
"2 or",1,1,0
"2 pounds",3,1,0
"2 take",1,0,1
"2 the",14,1,0
"2 to",2,0,1
"2 what",2,0,1
"2% chance",0,1,1
"2% milk",1,0,2
"2% of",1,0,1
"20 25",1,0,1
"20 28",1,0,1
"20 a",3,1,1
"20 and",6,3,4
"20 billion",1,1,0
"20 days",1,2,3
"20 feet",1,3,1
"20 foot",1,1,0
"20 for",1,3,3
"20 gift",2,0,1
"20 has",0,1,1
"20 have",1,1,0
"20 hours",1,0,2
"20 hrs",1,0,2
"20 in",2,1,3
"20 inches",1,1,0
"20 is",0,1,2
"20 it",0,1,1
"20 mile",1,0,2
"20 miles",4,0,1
"20 million",2,5,2
"20 mins",4,0,10
"20 minute",2,0,4
"20 minutes",38,3,29
"20 months",2,1,0
"20 more",0,1,3
"20 most",1,0,1
"20 or",3,1,1
"20 other",2,0,1
"20 over",1,0,1
"20 pages",1,0,2
"20 people",0,1,1
"20 percent",1,10,3
"20 points",1,2,3
"20 pounds",0,1,1
"20 s",0,1,1
"20 school",0,1,1
"20 season",5,2,1
"20 seasons",1,1,0
"20 sec",1,0,1
"20 seconds",1,1,1
"20 something",2,0,2
"20 somethings",1,1,1
"20 that",1,0,1
"20 the",1,2,0
"20 tickets",1,1,0
"20 times",4,0,3
"20 to",6,4,3
"20 when",1,1,1
"20 wins",0,1,1
"20 year",6,7,5
"20 years",26,8,22
"20% in",1,0,2
"20% of",6,0,3
"20% off",3,0,16
"20+ years",2,0,2
"200 followers",2,0,10
"200 for",2,0,1
"200 instead",1,0,1
"200 million",2,3,3
"200 more",1,0,1
"200 or",3,0,1
"200 people",2,0,3
"200 recipes",1,1,0
"200 yards",1,1,0
"200 years",5,1,3
"2000 after",1,1,0
"2000 and",3,1,0
"2000 by",1,1,0
"2000 in",1,3,0
"2000 to",0,1,1
"2000 when",1,1,0
"2000 years",6,0,3
"200000 in",1,1,0
"2001 a",2,0,1
"2001 and",5,1,1
"2001 i",2,0,2
"2001 in",1,0,1
"2001 to",1,1,0
"2002 and",5,3,0
"2002 but",1,1,0
"2002 the",2,2,0
"2003 the",3,0,1
"2003 when",1,2,0
"2004 by",2,1,0
"2004 the",2,1,0
"2005 and",4,3,1
"2005 he",2,1,0
"2005 it",2,1,0
"2005 to",1,2,1
"2006 and",2,2,1
"2006 for",1,1,0
"2006 he",3,1,0
"2006 i",1,0,1
"2006 two",2,1,0
"2007 after",2,1,1
"2007 and",12,1,0
"2007 but",0,1,1
"2007 he",2,2,0
"2007 i",2,0,1
"2007 in",1,1,0
"2007 it",2,0,1
"2007 that",2,1,0
"2007 the",5,1,0
"2007 to",2,0,2
"2007 was",1,0,1
"2007 when",2,5,1
"2008 after",1,3,0
"2008 and",10,5,1
"2008 as",1,0,1
"2008 but",2,2,1
"2008 by",3,1,0
"2008 campaign",1,3,0
"2008 he",1,2,0
"2008 i",3,1,1
"2008 in",2,0,1
"2008 study",1,1,0
"2008 the",5,3,0
"2008 to",2,3,1
"2008 when",3,3,0
"2009 a",1,1,0
"2009 after",1,1,0
"2009 and",6,8,1
"2009 but",2,2,0
"2009 for",0,1,1
"2009 he",4,1,0
"2009 is",0,2,1
"2009 state",1,1,0
"2009 that",1,1,0
"2009 the",3,2,0
"2009 they",1,1,0
"2009 to",3,5,0
"2009 when",2,1,0
"200th anniversary",1,1,0
"2010 a",1,2,1
"2010 and",12,2,2
"2010 as",1,1,0
"2010 before",1,1,0
"2010 but",1,0,1
"2010 draft",1,1,0
"2010 for",3,0,2
"2010 great",1,0,1
"2010 has",2,0,1
"2010 he",1,2,0
"2010 i",6,4,1
"2010 in",2,0,1
"2010 is",2,0,2
"2010 it",3,1,0
"2010 season",1,2,0
"2010 the",13,1,2
"2010 to",4,4,1
"2010 was",4,1,0
"2010 we",4,1,2
"2010 when",5,5,0
"2010 will",1,0,1
"2010 with",3,2,0
"2011 a",2,1,0
"2011 and",8,3,4
"2011 be",1,0,1
"2011 but",1,1,0
"2011 from",0,1,1
"2011 he",2,1,0
"2011 here",2,0,1
"2011 his",1,1,0
"2011 i",10,0,1
"2011 if",0,1,1
"2011 in",3,0,4
"2011 international",1,0,1
"2011 is",1,0,4
"2011 issue",3,0,1
"2011 it",2,0,3
"2011 last",1,0,1
"2011 season",4,5,3
"2011 that",2,1,2
"2011 that's",1,1,0
"2011 the",20,3,2
"2011 to",3,1,1
"2011 was",4,1,2
"2011 we",2,1,3
"2011 while",1,1,1
"2011 with",2,0,2
"2011 women",1,0,1
"2012 a",1,0,2
"2012 already",2,0,1
"2012 and",6,1,6
"2012 are",1,0,2
"2012 at",1,0,1
"2012 board",0,1,1
"2012 but",2,0,1
"2012 collection",1,0,1
"2012 do",1,0,1
"2012 election",1,1,0
"2012 from",1,0,1
"2012 has",2,0,5
"2012 i",6,0,6
"2012 in",4,0,5
"2012 is",4,0,13
"2012 it",2,1,0
"2012 march",1,0,1
"2012 music",1,0,2
"2012 national",1,0,1
"2012 now",1,0,1
"2012 on",2,1,0
"2012 one",3,0,2
"2012 page",1,0,4
"2012 presidential",0,1,1
"2012 results",1,0,3
"2012 school",1,1,1
"2012 season",1,0,4
"2012 stay",1,0,3
"2012 that",1,1,1
"2012 the",10,3,2
"2012 this",5,0,2
"2012 to",2,1,4
"2012 was",3,1,2
"2012 we",1,0,4
"2012 what",1,1,1
"2012 will",1,0,5
"2012 with",2,0,2
"2013 is",1,0,3
"2013 the",2,2,0
"2014 the",1,2,0
"2014 under",1,1,0
"20s and",3,1,1
"20th and",2,0,1
"20th anniversary",3,0,2
"20th birthday",1,0,1
"20th centuries",1,1,0
"20th century",29,2,3
"21 &",1,1,2
"21 and",5,5,2
"21 at",2,1,0
"21 days",3,0,4
"21 he",1,1,0
"21 i",1,0,1
"21 in",1,2,0
"21 inch",1,0,1
"21 inches",1,0,1
"21 is",1,0,1
"21 jump",1,0,2
"21 million",1,2,0
"21 on",0,1,1
"21 the",2,0,1
"21 this",1,0,1
"21 to",1,1,1
"21 when",0,1,1
"21 year",4,2,1
"214 million",0,1,1
"21st 2012",1,0,1
"21st amendment",2,0,1
"21st birthday",2,0,2
"21st century",10,1,13
"22 a",1,2,1
"22 and",2,2,3
"22 are",1,1,0
"22 at",1,1,0
"22 hours",0,2,1
"22 i",4,0,1
"22 is",0,1,1
"22 of",2,1,2
"22 percent",2,3,0
"22 points",0,2,1
"22 the",3,0,1
"22 year",0,8,1
"22 years",5,2,3
"225 million",1,2,0
"22nd and",1,0,1
"22nd in",1,0,1
"23 and",1,1,0
"23 at",0,1,2
"23 hours",1,0,1
"23 of",1,1,0
"23 or",2,0,1
"23 pages",1,0,1
"23 points",2,2,0
"23 year",4,1,0
"23 years",8,0,4
"24 and",4,3,1
"24 at",0,1,1
"24 for",2,1,1
"24 hour",9,3,6
"24 hours",35,5,34
"24 hrs",1,0,11
"24 million",0,3,1
"24 minutes",2,0,1
